"dept_id","parent_id","ancestors","dept_name","order_num","leader","phone","email","status","del_flag","create_by","create_time","update_by","update_time"
100,0,"0",物联科技,0,若依,15888888888,ry@qq.com,1,0,admin,"2024-06-13 16:06:25",admin,"2025-04-18 15:08:51"
101,100,"0,100",南宁总公司,1,若依,15888888888,ry@qq.com,1,0,admin,"2024-06-13 16:06:25",admin,"2025-04-16 21:04:21"
102,100,"0,100",柳州分公司,2,若依,15888888888,ry@qq.com,1,0,admin,"2024-06-13 16:06:25",admin,"2025-04-16 21:04:47"
103,101,"0,100,101",研发部门,1,若依,15888888888,ry@qq.com,1,0,admin,"2024-06-13 16:06:25",admin,"2025-04-16 21:04:21"
104,101,"0,100,101",市场部门,2,若依,15888888888,ry@qq.com,1,0,admin,"2024-06-13 16:06:25",admin,"2025-04-16 21:04:21"
105,101,"0,100,101",测试部门,3,若依,15888888888,ry@qq.com,1,0,admin,"2024-06-13 16:06:25",admin,"2025-04-16 21:04:21"
106,101,"0,100,101",财务部门,4,若依,15888888888,ry@qq.com,1,0,admin,"2024-06-13 16:06:25",admin,"2025-04-16 21:04:21"
107,101,"0,100,101",运维部门,5,若依,15888888888,ry@qq.com,1,0,admin,"2024-06-13 16:06:25",admin,"2025-04-16 21:04:21"
108,102,"0,100,102",市场部门,1,若依,15888888888,ry@qq.com,1,0,admin,"2024-06-13 16:06:25",admin,"2025-04-16 21:04:47"
109,102,"0,100,102",财务部门,2,若依,15888888888,ry@qq.com,1,0,admin,"2024-06-13 16:06:25",admin,"2025-04-16 21:04:47"
1811589666899832833,102,"0,100,102",测试部门2,0,负责人,,"",1,0,admin,"2024-07-12 10:33:29",admin,"2025-04-16 21:04:47"
